"","county_fip_id","cty_exposure_natl_hh_income_at_age_26_p25","cty_exposure_effects_natl_hh_income_at_age_26_p75","cty_exposure_college_attendance_at_ages_18_23_p25","cty_exposure_college_attendance_at_ages_18_23_p75","cty_exposure_value_of_hh_income_at_age_26_p25","cty_exposure_value_of_hh_income_at_age_26_p75","cty_exposure_marriage_rate_at_age_26_p25","cty_exposure_marriage_rate_at_age_26_p75","racial_segregation","income_segregation","segregation_of_poverty_p25","segregation_of_poverty_p75","fraction_with_commute_less15_mins","household_income_per_capita","gini","top_1pct_income_share","fraction_middle_class_between_p25_and_p75","local_tax_rate","local_tax_rate_per_capita","local_govt_expenditures_per_capita","state_eitc_exposure","tax_progressivity","school_expenditure_per_student","student_teacher_ratio","test_score_percentile_income_adjusted","high_school_dropout_rate_income_adjusted","number_of_colleges_per_capita","college_tuition","college_graduation_rate_income_adjusted","labor_force_participation","share_working_in_manufacturing","teenage_14_16_labor_force_participation","migration_inflow_rate","migration_outlflow_rate","fraction_foreign_born","social_capital_index","fraction_religious","violent_crime_rate","total_crime_rate","fraction_of_children_with_single_mothers","fraction_of_adults_divorced","fraction_of_adults_married","median_house_price_for_below_median_income_families","median_house_price_for_above_median_income_families","median_house_rent_for_below_median_income_families","median_house_rent_for_above_median_income_families","log_population_density","location_affordability_of_very_low_income_individual","location_affordability_of_median_income_family","unemployment_rate","fraction_black","poverty_rate","segregation_of_affluence_p75","fraction_with_commute__15_mins","location_affordability_of_median_household","fraction_of_parents_in_1st_national_income_decile","fraction_of_parents_in_2nd_national_income_decile","fraction_of_parents_in_3rd_national_income_decile","fraction_of_parents_in_4th_national_income_decile","fraction_of_parents_in_5th_national_income_decile","fraction_of_parents_in_6th_national_income_decile","fraction_of_parents_in_7th_national_income_decile","fraction_of_parents_in_8th_national_income_decile","fraction_of_parents_in_9th_national_income_decile","fraction_of_parents_in_10th_national_income_decile","w2_pos_30_q1_f","w2_pos_30_q1_m","w2_pos_30_q2_f","w2_pos_30_q2_m","w2_pos_30_q3_f","w2_pos_30_q3_m","w2_pos_30_q4_f","w2_pos_30_q4_m","primary16_clinton","primary16_sanders","no_college","county_component_pc1","county_component_pc2","county_component_pc3","county_component_pc4","county_component_pc5"
"1",51101,0.4405469,-0.7472643,-1.447915,-2.891948,499.9844,-1013.742,-2.545846,-1.40534,0.0236255,0.006705,0.0114418,0.0059425,0.1700171,39915.16,0.33925,0.0006176,0.53307,0.0231511,0.7680748,1.888298,0,0,6.9228548,16.74188,-2.215664,-0.0301245,0,0,0,0.6859152,0.1732895,0.51361,0.05857295,0.036665145,0.0123231,0.70045209,0.4388407,0.001065,0.0050205,0.1462585,0.0786441,0.6294431,101381.7121,101292.3304,568.313,579.716,3.865529,162.9634,53.61791,0.0292276,-0.9157415,-1.040532,-2.801126,-1.583843,0.9014153,0.0318823,0.066217,0.0784795,0.0809319,0.0870631,0.1342735,0.1434703,0.1870018,0.1465359,0.0441447,0.681818182,0.625,0.777777778,0.653846154,0.85,0.916666667,0.944444444,0.767441861,0.719,0.269,1,2.86376387218254,1.16172910740878,-3.31083428140227,-0.818599598111623,-3.25899474096532
"2",8071,-0.2782724,-0.2423834,-5.988059,-3.170341,-689.5768,-165.8429,2.773036,-0.043835,0.0331383,0.0162349,0.0212769,0.0143046,0.5898936,33266.04,0.36482,0.0004623,0.477,0.0245025,0.5939702,2.520886,1.428571,0,6.5466342,15.96322,-8.799986,0.0224716,0.0657592,1386,0.022213,0.5467278,0.037031,0.51286,0.012691524,0.018281055,0.023476,0.51680663,0.7930558,0.0040113,0.0130203,0.2362205,0.1179854,0.5274012,81973.42048,81023.36449,396.888,420.084,1.158858,129.7931,58.52598,0.045664,-0.0952542,-0.0644698,-0.2477862,0.2739758,-1.151032,0.0863547,0.1628214,0.1443639,0.1463415,0.1285432,0.1140409,0.0863547,0.0593276,0.0461437,0.0257086,0.934782609,0.8125,0.803571429,0.784313726,0.8,0.9,0.875,0.838709677,0.386,0.512,0,-1.98575162859515,-1.10317774763463,3.0709230483968,-0.241117480244654,0.94588402995986
"3",8001,0.0116523,-0.0495838,-0.0244996,-0.3726004,-41.04482,-552.5038,-0.3234307,-0.3057511,0.1065858,0.0983386,0.0855044,0.1098819,0.1944003,35684,0.33428,0.0007181,0.60073,0.0282529,0.842234,2.370083,1.428571,0,5.2512903,20.13796,-10.71118,0.03934,0.024735,7229.85,-0.085407,0.7057016,0.1201402,0.51009,0.080421704,0.067444078,0.125291,-1.2320217,0.3034956,0.0015034,0.0086739,0.1989018,0.1162408,0.5612465,137866.9546,166459.5123,748.944,926.441,5.721187,152.5666,48.7554,0.0404925,-0.2265121,0.1899182,0.1351909,-0.806941,-0.0540534,0.0314642,0.0485511,0.072205,0.0939463,0.1129778,0.1370143,0.1576078,0.1607001,0.1243903,0.0611432,0.745247148,0.697508897,0.725217391,0.802607076,0.719687093,0.822493225,0.786681716,0.853113984,0.383,0.61,0,7.25575829070248,-2.21871694816473,-1.6180551103695,-0.00385608532348572,2.66962835372757
"4",19119,-0.1289033,-1.48352,0.8856826,0.7211205,95.83726,-1247.724,-1.161581,-2.245765,0.0054965,0.0078897,0.0082271,0.0069798,0.4678251,33483.77,0.24037,0.0004906,0.74411,0.0202316,0.5727912,1.735358,3.714286,2.86,6.3870057,14.604277,14.63682,-0.0126777,0,0,0,0.6829268,0.1834429,0.70962,0.014112046,0.020147921,0.0094364,2.8178661,0.875712,0.000255,0.0009351,0.0785204,0.041965,0.6650512,63615.52941,66351.58501,369.506,362.297,2.996837,135.418,56.71712,0.0233786,-0.0121815,0.0709902,0.0988058,-3.580861,0.9939587,0.0224558,0.0353559,0.0807453,0.1175346,0.1858576,0.2016245,0.1638796,0.1175346,0.046345,0.028667,0.842105263,0.928571429,0.764705882,0.846153846,0.828571429,0.907216495,0.814814815,0.878787879,0.402,0.568,1,-0.962381358492465,7.12532747073655,0.431683470637417,1.17155955095787,-0.971182165525279
"5",13217,0.339208,0.4386407,-0.1809135,-0.8599395,448.2895,216.3576,-0.2758398,0.4393069,0.0903279,0.0303346,0.0341336,0.0258757,0.2222699,35354.39,0.51275,0.0011174,0.47305,0.0237131,0.6730052,2.736079,0,0,5.0686765,17.135927,-9.544084,0.0218348,0,0,0,0.6604159,0.2114566,0.31429,0.105014435,0.06003129,0.0246125,-2.0933865,0.4143159,0.0017096,0.0074515,0.2138297,0.1070289,0.5893774,101290.3782,105308.4112,585.239,603.887,5.412937,152.4919,53.53808,0.0356797,-0.9118397,0.1815726,-2.624971,0.9981205,0.3292331,0.0897436,0.1321141,0.147778,0.1179683,0.10181,0.0829726,0.0871261,0.0790767,0.094345,0.0574777,0.736842105,0.620689655,0.545454546,0.727272727,0.8,0.808988764,0.884057971,1,0.78,0.215,1,1.77557632931757,-4.3539887983165,-3.2232988875646,-1.45718729159998,-1.94548673599066
"6",13051,0.0953561,0.1791046,0.2831742,-0.7936049,18.08731,175.2051,-0.3087037,1.026001,0.2772165,0.1146352,0.1089904,0.118164,0.2900329,38748.96,0.58086,0.0014311,0.45011,0.0317214,1.009874,2.369931,0,0,6.1090374,16.731727,-19.27344,0.0790879,0.0215473,7687.04,-0.0009867,0.6279367,0.1076461,0.41044,0.037095773,0.043956423,0.0396858,-1.276473,0.4507559,0.0026848,0.0109072,0.3241503,0.1132612,0.490158,86866.95736,117331.5185,580.676,701.769,6.27222,142.1921,53.45769,0.0353914,0.9376087,0.5069761,0.8003194,-0.1562839,-0.2413385,0.1301029,0.1605045,0.127315,0.1007966,0.0858281,0.0784932,0.0775639,0.079688,0.07846,0.0812479,0.736009732,0.650366748,0.811700183,0.740869565,0.79787234,0.743697479,0.831730769,0.853932584,0.723,0.272,0,3.43624371550795,-7.81722870722353,2.62252025614338,1.29098505553155,0.115752012338648
"7",37123,0.7820524,-0.0232473,0.8161583,-1.050171,335.6212,278.4505,-0.4805323,4.442323,0.1206867,0.0082903,0.0072177,0.0078697,0.3388129,30831.02,0.37583,0.0007295,0.50442,0.0160656,0.4124904,1.640195,0,1,4.9633606,15.601914,-10.29588,0.0254999,0.0372828,880,-0.1156616,0.5969378,0.3936602,0.33187,0.020356424,0.024979494,0.0802699,-1.8806346,0.4512714,0.0019387,0.0085378,0.2025524,0.0773097,0.5969658,75637.18894,81774.63849,414.035,408.428,3.999314,122.744,68.14768,0.0689601,-0.9853163,-0.1244849,-0.9889928,0.3910144,2.610283,0.0803164,0.1372072,0.171585,0.1524186,0.1064801,0.1186492,0.0964405,0.075753,0.0331609,0.027989,0.67032967,0.67948718,0.842696629,0.726415094,0.916666667,0.753846154,0.772727273,0.857142857,0.549,0.355,0,-2.56819010881854,-2.83941145511918,-1.25922954845786,0.182090407904147,-0.628339151102702
"8",41063,1.190092,-0.0926908,-3.30544,-0.1982939,604.7978,-3334.987,1.21258,5.735437,0.0040748,0.0019096,0.0007387,0.001687,0.6440992,34762.17,0.55843,0.0030487,0.62281,0.016023,0.4679497,3.575315,1.190476,0,6.280112,15.632913,13.56621,-0.0353652,0,0,0,0.6074256,0.1091029,0.58859,0.010102408,0.013838915,0.0084417,0.2026406,0.3736507,0.0004152,0.0047052,0.1770833,0.1035897,0.6365812,111590.5245,116088.0546,449.929,451.898,0.8317639,136.6336,61.05631,0.0923683,6.33e-10,3.65e-09,-5.33e-10,-4.08e-10,-1.21e-09,0.0536993,0.0823389,0.1193317,0.1062052,0.1491647,0.2016706,0.1372315,0.0727924,0.0369928,0.0405728,0.714285714,0.882352941,0.655172414,0.878787879,0.84375,0.870967742,0.769230769,0.8125,0.401,0.599,1,-1.31434975113785,2.18405607520219,0.827869192960801,-1.58587204564663,1.92002530238984
"9",39037,-0.7689465,0.2476977,-0.1731992,0.1234641,-238.1956,-1355.307,-0.1314435,-0.6275109,0.0362757,0.0268803,0.02934,0.0277774,0.378226,35842.2,0.30457,0.0007487,0.69007,0.0178927,0.5389507,1.538373,0,2.66,5.0374371,16.741841,5.874784,0.0076699,0,0,0,0.6568216,0.2975821,0.53688,0.019490142,0.023316888,0.0069407,1.2048856,0.4226866,0.0001143,0.0026675,0.1454412,0.0964409,0.6168676,86969.72973,91141.09286,456.301,458.379,4.487267,129.569,58.20785,0.0427832,-1.35148,-0.4675316,-1.701478,0.8636198,0.9586871,0.0226169,0.0474061,0.0732175,0.1188347,0.1576795,0.1740353,0.162024,0.1252236,0.0706619,0.0483005,0.782051282,0.779411765,0.769633508,0.841836735,0.825581395,0.853333333,0.81871345,0.928176796,0.542,0.434,1,0.3837574268165,3.21703474598699,-1.66266318969152,0.973862379329968,0.0205087107448225
"10",8009,-0.6174332,0.4821891,1.216838,-0.0826366,-254.18,-8326.935,-0.5777127,1.056759,0.0005478,0.001438,0.0023591,0.0005164,0.6666667,31259.88,0.30512,0.0006761,0.62567,0.0405289,1.075944,3.379061,1.428571,0,7.4737443,10.816667,-12.51724,0.0577986,0,0,0,0.5763561,0.0247158,0.52128,0.013113911,0.020663562,0.0247952,0.66462386,0.4027009,0.0013283,0.0033208,0.1478743,0.0908842,0.6304407,44877.85714,45358.67769,297.548,297.207,0.569515,115.6043,58.9299,0.0298324,6.33e-10,3.65e-09,-5.33e-10,-4.08e-10,-1.21e-09,0.0777096,0.1083845,0.1635992,0.196319,0.1881391,0.0981595,0.0797546,0.0429448,0.0224949,0.0224949,0.666666667,0.8,0.875,0.52173913,0.666666667,0.928571429,0.620689655,1,0.319,0.298,1,-4.4239569862998,1.06832544769555,1.53865625298482,-2.92796696719643,0.78191033151247
