"","census_county_fips","primary16_clinton","primary16_sanders"
"1",20173,0.485,0.463571429
"2",42113,0.503,0.476
"3",21183,0.413,0.5
"4",48247,0.75,0.188
"5",1081,0.736,0.254
"6",13265,0.864,0.128
"7",47137,0.756,0.226
"8",8071,0.386,0.512
"9",13247,0.78,0.218
"10",13047,0.508,0.481
"11",2060,0.2206,0.779293333
"12",48423,0.736,0.254
"13",26161,0.437,0.554
"14",30069,0.471,0.471
"15",38067,0.444583333,0.477083333
"16",55079,0.517,0.48
"17",53065,0.184,0.808
"18",46123,0.481,0.519
"19",35051,0.43,0.57
"20",31113,0.667,0.333
"21",13303,0.864,0.127
"22",30051,0.479,0.454
"23",19113,0.474,0.523
"24",35027,0.494,0.506
"25",40139,0.317,0.467
"26",27065,0.465952381,0.464285714
"27",24027,0.603,0.366
"28",20181,0.478978495,0.459301075
"29",28049,0.841,0.153
"30",31175,0.614,0.386
"31",17061,0.469,0.494
"32",18071,0.515,0.485
"33",36095,0.364,0.636
"34",5051,0.687,0.301
"35",55005,0.462,0.532
"36",20067,0.478978495,0.459301075
"37",47093,0.51,0.479
"38",5145,0.69,0.279
"39",27075,0.465952381,0.464285714
"40",48025,0.751,0.212
"41",49005,0.177,0.815
"42",51530,0.584,0.408
"43",18059,0.408,0.592
"44",20121,0.51,0.42
"45",4001,0.664,0.288
"46",48033,0.8,0.2
"47",22085,0.498,0.333
"48",28121,0.771,0.223
"49",31103,0.444,0.556
"50",48029,0.668,0.321
"51",19077,0.55,0.45
"52",12065,0.646,0.295
"53",38055,0.444583333,0.477083333
"54",39095,0.569,0.427
"55",29053,0.501,0.486
"56",36061,0.663,0.337
"57",24013,0.463,0.475
"58",13145,0.75,0.245
"59",27089,0.465952381,0.464285714
"60",45037,0.818,0.167
"61",47029,0.556,0.433
"62",5097,0.66,0.296
"63",32019,0.476,0.524
"64",48289,0.743,0.229
"65",6047,0.57,0.413
"66",42045,0.597,0.398
"67",6055,0.602,0.39
"68",4009,0.491,0.446
"69",42053,0.521,0.459
"70",37165,0.63,0.269
"71",17059,0.403,0.504
"72",55133,0.484,0.514
"73",45051,0.672,0.324
"74",55055,0.387,0.611
"75",39061,0.595,0.402
"76",48213,0.716,0.269
"77",13295,0.53,0.455
"78",21187,0.346,0.55
"79",48173,0.5,0.5
"80",37175,0.458,0.499
"81",8043,0.412,0.571
"82",47183,0.632,0.332
"83",27147,0.465952381,0.464285714
"84",12061,0.624,0.355
"85",51735,0.465,0.528
"86",19115,0.56,0.42
"87",51153,0.638,0.355
"88",20205,0.478978495,0.459301075
"89",34007,0.624,0.376
"90",1091,0.658,0.2
"91",42131,0.483,0.503
"92",46093,0.432,0.568
"93",46087,0.618,0.382
"94",29055,0.412,0.562
"95",19009,0.625,0.375
"96",48505,0.678,0.236
"97",13049,0.737,0.225
"98",36065,0.454,0.546
"99",42049,0.518,0.473
"100",48335,0.741,0.211
"101",29141,0.515,0.471
"102",27137,0.425,0.505
"103",49051,0.233,0.764
"104",21215,0.427,0.512
"105",13319,0.833,0.155
"106",47005,0.635,0.325
"107",19051,0.58,0.42
"108",6045,0.364,0.629
"109",53049,0.189,0.811
"110",18131,0.426,0.574
"111",36119,0.674,0.326
"112",8027,0.43,0.57
"113",48507,0.755,0.181
"114",41071,0.452,0.548
"115",48359,0.688,0.25
"116",54083,0.318,0.523
"117",48341,0.598,0.325
"118",51127,0.678,0.314
"119",18011,0.448,0.552
"120",12021,0.661,0.319
"121",20207,0.478978495,0.459301075
"122",37199,0.405,0.495
"123",17161,0.516,0.471
"124",26071,0.483,0.5
"125",5003,0.474,0.338
"126",5013,0.45,0.34
"127",37103,0.58,0.32
"128",20149,0.458,0.47
"129",12041,0.375,0.507
"130",47081,0.609,0.362
"131",48323,0.695,0.242
"132",48065,0.625,0.375
"133",38007,0.444583333,0.477083333
"134",51011,0.67,0.321
"135",38031,0.444583333,0.477083333
"136",48339,0.595,0.398
"137",27091,0.465952381,0.464285714
"138",20035,0.48,0.46
